Channel A (user circuit)
CN2-1,  V3V3,   3.3VDC generated from VCC (output),
CN2-2,  GND,    0V Power pin,
CN2-3,  V3V3,   3.3VDC generated from VCC (output),
CN2-4,  GND,    0V Power pin,
CN2-5,  V3V3,   3.3VDC generated from VCC (output),
CN2-6,  GND,    0V Power pin,
CN2-7,  AD0,    FT2232H AD0 pin,
CN2-8,  RESET#, FT2232H RESET# pin,
CN2-9,  AD2,    FT2232H AD2 pin,
CN2-10, AD1,    FT2232H AD1 pin,
CN2-11, VIO,    Connected to all FT2232H VCCIO pins (input),
CN2-12, AD3,    FT2232H AD3 pin,
CN2-13, AD5,    FT2232H AD5 pin,
CN2-14, AD4,    FT2232H AD4 pin,
CN2-15, AD7,    FT2232H AD7 pin,
CN2-16, AD6,    FT2232H AD6 pin,
CN2-17, AC1,    FT2232H AC1 pin,
CN2-18, AC0,    FT2232H AC0 pin,
CN2-19, AC3,    FT2232H AC3pin,
CN2-20, AC2,    FT2232H AC2 pin,
CN2-21, VIO,    Connected to all FT2232H VCCIO pins (input),
CN2-22, AC4,    FT2232H AC4 pin,
CN2-23, AC6,    FT2232H AC6 pin,
CN2-24, AC5,    FT2232H AC5 pin,
CN2-25, SUSPEND#, FT2232H SUSPEND# pin,
CN2-26, AC7,    FT2232H AC7 pin,



Channel B (JTAG circuit),
CN3-1,  VBUS, USB VBUS power pin (output),
CN3-2,  GND, 0V Power pin,
CN3-3,  VCC, +5V Power pin (input) used to generate V3V3 VPLL and VUSB,
CN3-4,  GND, 0V Power pin,
CN3-5,  CS, FT2232H EECS pin,
CN3-6,  CLK, FT2232H EECLK pin,
CN3-7,  DATA, FT2232H EEDATA pin,
CN3-8,  PWREN#, FT2232H PWREN#,
CN3-9,  BC7, FT2232H BC7 pin,
CN3-10, BC6, FT2232H BC6 pin,
CN3-11, BC5, FT2232H BC5 pin,
CN3-12, VIO, Connected to all FT2232H VCCIO pins (input),
CN3-13, BC4, FT2232H BC4 pin,
CN3-14, BC3, FT2232H BC3 pin,
CN3-15, BC2, FT2232H BC2 pin,
CN3-16, BC1, FT2232H BC1 pin,
CN3-17, BC0, FT2232H BC0 pin,
CN3-18, BD7, FT2232H BD7 pin,
CN3-19, BD6, FT2232H BD6 pin,
CN3-20, BD5, FT2232H BD5 pin,
CN3-21, BD4, FT2232H BD4 pin,
CN3-22, VIO, Connected to all FT2232H VCCIO pins (input),
CN3-23, BD3, FT2232H BD3 pin,
CN3-24, BD2, FT2232H BD2 pin,
CN3-25, BD1, FT2232H BD1 pin,
CN3-26, BD0, FT2232H BD0 pin,
