# Pin Out For ECP5U-25,,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,,
# Revision 2.0 - Include TQFP144 package,,,,,,,,,,
"# Revised Sep. 17, 2021",,,,,,,,,,
,,,,,,,,,no. of used pins: ,110
,,,,,,,,,,
,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,TQFP144,used,,
9,PL5C,7,-,True_OF_PL5D,-,LDQ8,1,SI_T1 (to the array board),,
10,PL5B,7,-,Comp_OF_PL5A,TRUE,LDQ8,3,SI_T3 (to the array board),,
12,PL5D,7,-,Comp_OF_PL5C,-,LDQ8,2,SI_T2 (to the array board),,
13,PL8A,7,-,True_OF_PL8B,TRUE,LDQS8,4,SI_T4 (to the array board),,
15,PL8C,7,-,True_OF_PL8D,-,LDQ8,5,SI_T5 (to the array board),,
16,PL8B,7,-,Comp_OF_PL8A,TRUE,LDQSN8,6,SI_T6 (to the array board),,
18,PL8D,7,-,Comp_OF_PL8C,-,LDQ8,7,SI_T7 (to the array board),,
23,VCCIO7,-,-,-,-,-,9,+3.3V,,
25,PL14A,7,-,True_OF_PL14B,TRUE,LDQ20,10,SI_T8 (to the array board),,
27,PL14C,7,VREF1_7,True_OF_PL14D,-,LDQ20,11,SI_T9 (to the array board),,
28,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ20,12,SI_T10 (to the array board),,
30,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,13,SI_T11 (to the array board),,
48,PL23D,7,PCLKC7_0,Comp_OF_PL23C,-,LDQ20,14,SI_T12 (to the array board),,
64,PL32B,6,-,Comp_OF_PL32A,TRUE,LDQSN32,18,SI_T13 (to the array board),,
69,PL35C,6,-,True_OF_PL35D,-,LDQ32,22,SI_T14 (to the array board),,
70,PL35B,6,VREF1_6,Comp_OF_PL35A,TRUE,LDQ32,19,SI_T15 (to the array board),,
72,PL35D,6,-,Comp_OF_PL35C,-,LDQ32,23,SI_T16 (to the array board),,
73,PL38A,6,-,True_OF_PL38B,TRUE,LDQ44,24,SI_T17 (to the array board),,
76,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ44,25,SI_T18 (to the array board),,
81,PL41C,6,-,True_OF_PL41D,-,LDQ44,26,SI_T19 (to the array board),,
84,PL41D,6,-,Comp_OF_PL41C,-,LDQ44,27,SI_T20 (to the array board),,
85,PL44A,6,-,True_OF_PL44B,TRUE,LDQS44,28,SI_T21 (to the array board),,
87,PL44C,6,-,True_OF_PL44D,-,LDQ44,31,SI_T22 (to the array board),,
88,PL44B,6,-,Comp_OF_PL44A,TRUE,LDQSN44,30,SI_T23 (to the array board),,
90,PL44D,6,-,Comp_OF_PL44C,-,LDQ44,33,SI_T24 (to the array board),,
91,PL47A,6,-,True_OF_PL47B,TRUE,LDQ44,34,SI_T25 (to the array board),,
92,VSSIO6,-,-,-,-,-,32,+3.3V,,
93,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ44,35,SI_T26 (to the array board),,
95,PL47C,6,LLC_GPLL0T_IN,True_OF_PL47D,-,LDQ44,37,SI_T27 (to the array board),,
103,PB4A,8,D7/IO7,True_OF_PB4B,-,-,40,SI_T28 (to the array board),,
104,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,39,RCK (connected to the transducer array board),,
106,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,44,SCK (connected to the transducer array board),,
107,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,41,SI_T29 (to the array board),,
109,PB9A,8,D3/IO3,True_OF_PB9B,-,-,45,SI_T30 (to the array board),,
110,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,46,SI_T31 (to the array board),,
113,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,47,SI_T32 (to the array board),,
114,VCCIO8,-,-,-,-,-,43,+3.3V,,
115,PB13A,8,SN/CSN,True_OF_PB13B,-,-,48,,,
116,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,49,,,
118,PB13B,8,CS1N,Comp_OF_PB13A,-,-,50,,,
119,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,51,,,
121,PB18A,8,WRITEN,-,-,-,52,,,
122,INITN,8,-,-,-,-,55,INITN,,
124,CCLK,8,MCLK/SCK,-,-,-,54,MCLK,,
125,PROGRAMN,8,-,-,-,-,57,PROGRAMN,,
127,DONE,8,-,-,-,-,56,DONE,,
128,CFG_1,8,-,-,-,-,59,VCCIO8 +3.3V (with resistor 4.7k before going to CFG_1 pin),,
130,CFG_2,8,-,-,-,-,58,GND (with resistor 4.7k before going to CFG_2 pin),,
131,CFG_0,8,-,-,-,-,62,GND (with resistor 4.7k before going to CFG_0 pin),,
133,TDO,40,-,-,-,-,60,TDO1,,
134,TCK,40,-,-,-,-,63,TCK1,,
136,TDI,40,-,-,-,-,61,TDI1,,
137,TMS,40,-,-,-,-,64,TMS1,,
183,PR47D,3,LRC_GPLL0C_IN,Comp_OF_PR47C,-,RDQ44,68,,,
184,PR47C,3,LRC_GPLL0T_IN,True_OF_PR47D,-,RDQ44,69,,,
186,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ44,67,,,
188,PR47A,3,-,True_OF_PR47B,TRUE,RDQ44,71,,,
192,PR44C,3,-,True_OF_PR44D,-,RDQ44,72,,,
195,PR41D,3,-,Comp_OF_PR41C,-,RDQ44,73,,,
197,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQ44,76,,,
198,PR41C,3,-,True_OF_PR41D,-,RDQ44,74,IO3 (on pin7/HOLD/RESET of w23q32jvss SPI flash),,
200,PR41A,3,-,True_OF_PR41B,TRUE,RDQ44,77,IO2 (on pin3/WP of of w23q32jvss SPI flash),,
207,PR35D,3,-,Comp_OF_PR35C,-,RDQ32,78,MISO/D1 ,,
209,PR35B,3,VREF1_3,Comp_OF_PR35A,TRUE,RDQ32,79,MOSI/D0,,
210,PR35C,3,-,True_OF_PR35D,-,RDQ32,80,CSS (on pin1/CS of w23q32jvss SPI flash),,
212,PR35A,3,-,True_OF_PR35B,TRUE,RDQ32,81,,,
213,PR32D,3,-,Comp_OF_PR32C,-,RDQ32,82,,,
